"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales"
"The Orange Box","PC","2007","Shooter","NA","110","NA","30","140","96","34","93","495","94.5","0.0094456101526815"
"Metal Gear Solid 3: Subsistence","PS2","2005","Action","340","10","150","60","550","94","53","93","439","93.5","0.037107754171249"
"Half-Life 2","PC","2004","Shooter","2280","20","80","NA","2370","96","80","90","8665","93","0.15990068615611"
"The Witcher 3: Wild Hunt","PC","2015","Role-Playing","210","460","NA","50","720","93","32","93","665","93","0.048577423642362"
"Okami","PS2","2006","Action","110","30","150","340","630","93","69","93","327","93","0.042505245687067"
"Star Wars: Knights of the Old Republic","XB","2003","Role-Playing","1680","440","NA","80","2190","94","72","92","307","93","0.14775633024552"
"Grand Theft Auto: San Andreas","PS2","2004","Action","9430","400","410","10570","20810","95","80","90","588","92.5","1.4040224805522"
"Resident Evil 4","PS2","2005","Action","2080","830","460","250","3620","96","38","89","3","92.5","0.24423649109077"
"The Last of Us","PS3","2013","Action","2410","2180","280","990","5870","95","98","90","8003","92.5","0.39604093997315"
"Red Dead Redemption","X360","2010","Action","3700","1950","90","580","6320","95","96","90","2306","92.5","0.42640182974962"
"Mass Effect 2","X360","2010","Role-Playing","1990","810","30","270","3100","96","98","89","3043","92.5","0.20915279623795"
"BioShock","X360","2007","Shooter","1650","850","50","280","2830","96","88","89","2249","92.5","0.19093626237206"
"The Orange Box","X360","2007","Shooter","1090","530","20","170","1820","96","54","89","797","92.5","0.12279293198486"
"Uncharted 2: Among Thieves","PS3","2009","Action","3270","2200","210","980","6660","96","5","88","5087","92","0.44934116869185"
"The Witcher 3: Wild Hunt","PS4","2015","Role-Playing","1020","2130","230","590","3970","92","79","92","79","92","0.26785051647247"
"Tom Clancy's Splinter Cell: Chaos Theory","XB","2005","Action","680","380","NA","50","1110","94","70","90","60","92","0.074890194781975"
"Portal 2","PC","2011","Shooter","330","320","NA","100","760","95","52","88","5999","91.5","0.051276169400271"
"Star Wars: Knights of the Old Republic","PC","2003","Role-Playing","10","100","NA","20","140","93","33","90","497","91.5","0.0094456101526815"
"Deus Ex","PC","2000","Role-Playing","NA","10","NA","NA","10","90","28","93","69","91.5","0.00067468643947725"
"Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action","2450","2010","870","720","6050","96","42","87","26","91.5","0.40818529588374"
"God of War","PS2","2005","Action","2710","1290","20","430","4450","94","75","89","997","91.5","0.30023546556738"
"Metal Gear Solid 3: Snake Eater","PS2","2004","Action","1460","NA","830","1930","4230","90","68","93","955","91.5","0.28539236389888"
"World Soccer Winning Eleven 6 International","PS2","2002","Sports","120","1260","1160","450","2990","93","24","90","65","91.5","0.2017312454037"
"World Soccer Winning Eleven 7 International","PS2","2003","Sports","80","1240","1130","450","2900","93","28","90","45","91.5","0.1956590674484"
