"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"Wii Sports","Wii","2006","Sports","41.36","28.96","3.77","8.45","82.53","76","51","8.00","322"
"Super Mario Bros.","NES","1985","Platform","29.08","3.58","6.81","0.77","40.24","1","1","1.00","1"
"Mario Kart Wii","Wii","2008","Racing","15.68","12.76","3.79","3.29","35.52","82","73","8.30","709"
"Wii Sports Resort","Wii","2009","Sports","15.61","10.93","3.28","2.95","32.77","80","73","8.00","192"
"Pokemon Red/Pokemon Blue","GB","1996","Role-Playing","11.27","8.89","10.22","1","31.37","1","1","1.00","1"
"Tetris","GB","1989","Puzzle","23.2","2.26","4.22","0.58","30.26","1","1","1.00","1"
"New Super Mario Bros.","DS","2006","Platform","11.28","9.14","6.5","2.88","29.8","89","65","8.50","431"
"Wii Play","Wii","2006","Misc","13.96","9.18","2.93","2.84","28.92","58","41","6.60","129"
"New Super Mario Bros. Wii","Wii","2009","Platform","14.44","6.94","4.7","2.24","28.32","87","80","8.40","594"
"Duck Hunt","NES","1984","Shooter","26.93","0.63","0.28","0.47","28.31","1","1","1.00","1"
"Nintendogs","DS","2005","Simulation","9.05","10.95","1.93","2.74","24.67","1","1","1.00","1"
"Mario Kart DS","DS","2005","Racing","9.71","7.47","4.13","1.9","23.21","91","64","8.60","464"
"Pokemon Gold/Pokemon Silver","GB","1999","Role-Playing","9","6.18","7.2","0.71","23.1","1","1","1.00","1"
"Wii Fit","Wii","2007","Sports","8.92","8.03","3.6","2.15","22.7","80","63","7.70","146"
"Kinect Adventures!","X360","2010","Misc","15","4.89","0.24","1.69","21.81","61","45","6.30","106"
"Wii Fit Plus","Wii","2009","Sports","9.01","8.49","2.53","1.77","21.79","80","33","7.40","52"
"Grand Theft Auto V","PS3","2013","Action","7.02","9.09","0.98","3.96","21.04","97","50","8.20","3994"
"Grand Theft Auto: San Andreas","PS2","2004","Action","9.43","0.4","0.41","10.57","20.81","95","80","9.00","1588"
"Super Mario World","SNES","1990","Platform","12.78","3.75","3.54","0.55","20.61","1","1","1.00","1"
"Brain Age: Train Your Brain in Minutes a Day","DS","2005","Misc","4.74","9.2","4.16","2.04","20.15","77","58","7.90","50"
"Pokemon Diamond/Pokemon Pearl","DS","2006","Role-Playing","6.38","4.46","6.04","1.36","18.25","1","1","1.00","1"
"Super Mario Land","GB","1989","Platform","10.83","2.71","4.18","0.42","18.14","1","1","1.00","1"
"Super Mario Bros. 3","NES","1988","Platform","9.54","3.44","3.84","0.46","17.28","1","1","1.00","1"
"Grand Theft Auto V","X360","2013","Action","9.66","5.14","0.06","1.41","16.27","97","58","8.10","3711"
"Grand Theft Auto: Vice City","PS2","2002","Action","8.41","5.49","0.47","1.78","16.15","95","62","8.70","730"
"Pokemon Ruby/Pokemon Sapphire","GBA","2002","Role-Playing","6.06","3.9","5.38","0.5","15.85","1","1","1.00","1"
"Brain Age 2: More Training in Minutes a Day","DS","2005","Puzzle","3.43","5.35","5.32","1.18","15.29","77","37","7.10","19"
"Pokemon Black/Pokemon White","DS","2010","Role-Playing","5.51","3.17","5.65","0.8","15.14","1","1","1.00","1"
"Gran Turismo 3: A-Spec","PS2","2001","Racing","6.85","5.09","1.87","1.16","14.98","95","54","8.40","314"
"Call of Duty: Modern Warfare 3","X360","2011","Shooter","9.04","4.24","0.13","1.32","14.73","88","81","3.40","8713"
"Pok̩mon Yellow: Special Pikachu Edition","GB","1998","Role-Playing","5.89","5.04","3.12","0.59","14.64","1","1","1.00","1"
"Call of Duty: Black Ops 3","PS4","2015","Shooter","6.03","5.86","0.36","2.38","14.63","1","1","1.00","1"
"Call of Duty: Black Ops","X360","2010","Shooter","9.7","3.68","0.11","1.13","14.61","87","89","6.30","1454"
"Pokemon X/Pokemon Y","3DS","2013","Role-Playing","5.28","4.19","4.35","0.78","14.6","1","1","1.00","1"
"Call of Duty: Black Ops II","PS3","2012","Shooter","4.99","5.73","0.65","2.42","13.79","83","21","5.30","922"
"Call of Duty: Black Ops II","X360","2012","Shooter","8.25","4.24","0.07","1.12","13.67","83","73","4.80","2256"
"Call of Duty: Modern Warfare 2","X360","2009","Shooter","8.52","3.59","0.08","1.28","13.47","94","100","6.30","2698"
"Call of Duty: Modern Warfare 3","PS3","2011","Shooter","5.54","5.73","0.49","1.57","13.32","88","39","3.20","5234"
"Grand Theft Auto III","PS2","2001","Action","6.99","4.51","0.3","1.3","13.1","97","56","8.50","664"
"Super Smash Bros. Brawl","Wii","2008","Fighting","6.62","2.55","2.66","1.01","12.84","93","81","8.90","1662"
"Mario Kart 7","3DS","2011","Racing","5.03","4.02","2.69","0.91","12.66","85","73","8.20","632"
"Call of Duty: Black Ops","PS3","2010","Shooter","5.99","4.37","0.48","1.79","12.63","88","58","6.40","1094"
"Grand Theft Auto V","PS4","2014","Action","3.96","6.31","0.38","1.97","12.61","97","66","8.30","2899"
"Animal Crossing: Wild World","DS","2005","Simulation","2.5","3.45","5.33","0.86","12.13","86","57","8.70","242"
"Halo 3","X360","2007","Shooter","7.97","2.81","0.13","1.21","12.12","94","86","7.80","4100"
"Super Mario 64","N64","1996","Platform","6.91","2.85","1.91","0.23","11.89","1","1","1.00","1"
"Pokemon HeartGold/Pokemon SoulSilver","DS","2009","Action","4.34","2.71","3.96","0.76","11.77","1","1","1.00","1"
"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS","2014","Role-Playing","4.35","3.49","3.1","0.74","11.68","1","1","1.00","1"
"Gran Turismo 4","PS2","2004","Racing","3.01","0.01","1.1","7.53","11.66","89","74","8.50","272"
"Super Mario Galaxy","Wii","2007","Platform","6.06","3.35","1.2","0.74","11.35","97","73","8.90","2147"
"Super Mario Land 2: 6 Golden Coins","GB","1992","Adventure","6.16","2.04","2.69","0.29","11.18","1","1","1.00","1"
"Grand Theft Auto IV","X360","2008","Action","6.76","3.07","0.14","1.03","11.01","98","86","7.90","2951"
"Gran Turismo","PS","1997","Racing","4.02","3.87","2.54","0.52","10.95","96","16","8.70","138"
"Super Mario 3D Land","3DS","2011","Platform","4.89","3","2.14","0.78","10.81","90","82","8.40","921"
"Gran Turismo 5","PS3","2010","Racing","2.96","4.82","0.81","2.11","10.7","84","82","7.50","1112"
"Call of Duty: Modern Warfare 2","PS3","2009","Shooter","4.99","3.64","0.38","1.6","10.6","94","67","6.30","2073"
"Super Mario All-Stars","SNES","1993","Platform","5.99","2.15","2.12","0.29","10.55","1","1","1.00","1"
"Grand Theft Auto IV","PS3","2008","Action","4.76","3.69","0.44","1.61","10.5","98","64","7.50","2833"
"Pokemon FireRed/Pokemon LeafGreen","GBA","2004","Role-Playing","4.34","2.65","3.15","0.35","10.49","1","1","1.00","1"
"Super Mario 64","DS","2004","Platform","5.01","3.07","1.25","0.97","10.3","1","1","1.00","1"
"Call of Duty: Ghosts","X360","2013","Shooter","6.73","2.56","0.04","0.91","10.25","73","29","2.60","2117"
"Just Dance 3","Wii","2011","Misc","5.95","3.11","0","1.06","10.12","74","15","7.80","16"
"New Super Mario Bros. 2","3DS","2012","Platform","3.66","3.14","2.47","0.63","9.9","78","70","7.20","424"
"Mario Kart 64","N64","1996","Racing","5.55","1.94","2.23","0.15","9.87","1","1","1.00","1"
"Halo: Reach","X360","2010","Shooter","7.04","1.95","0.08","0.79","9.86","91","99","7.90","2045"
"Final Fantasy VII","PS","1997","Role-Playing","3.01","2.47","3.28","0.96","9.72","92","20","9.20","1282"
"Halo 4","X360","2012","Shooter","6.65","2.28","0.04","0.74","9.71","87","87","7.00","3260"
"Gran Turismo 2","PS","1999","Racing","3.88","3.42","1.69","0.5","9.49","93","23","9.00","135"
"Just Dance 2","Wii","2010","Misc","5.8","2.85","0.01","0.78","9.44","74","24","7.30","24"
"Call of Duty: Ghosts","PS3","2013","Shooter","4.1","3.63","0.38","1.25","9.36","71","10","2.60","1047"
"Call of Duty 4: Modern Warfare","X360","2007","Shooter","5.93","2.36","0.13","0.9","9.31","94","70","8.40","1320"
"Donkey Kong Country","SNES","1994","Platform","4.36","1.71","3","0.23","9.3","1","1","1.00","1"
"Minecraft","X360","2013","Misc","5.7","2.65","0.02","0.81","9.18","1","1","1.00","1"
"Animal Crossing: New Leaf","3DS","2012","Simulation","2.03","2.36","4.39","0.39","9.16","88","70","8.70","626"
"Mario Party DS","DS","2007","Misc","4.4","1.85","1.98","0.68","8.91","72","27","7.80","85"
"The Elder Scrolls V: Skyrim","X360","2011","Role-Playing","5.05","2.79","0.1","0.85","8.79","96","89","8.40","3589"
"Super Mario Kart","SNES","1992","Racing","3.54","1.24","3.81","0.18","8.76","1","1","1.00","1"
"FIFA 16","PS4","2015","Sports","1.12","6.12","0.06","1.28","8.57","82","42","4.30","896"
"Halo 2","XB","2004","Shooter","6.82","1.53","0.05","0.08","8.49","95","91","8.20","1218"
"Wii Party","Wii","2010","Misc","1.75","3.47","2.49","0.67","8.38","68","42","7.40","54"
"Mario Party 8","Wii","2007","Misc","3.74","2.24","1.58","0.7","8.27","62","41","6.30","190"
"FIFA Soccer 13","PS3","2012","Action","1.06","5.01","0.13","1.97","8.16","88","37","6.60","348"
"GoldenEye 007","N64","1997","Shooter","5.8","2.01","0.13","0.15","8.09","1","1","1.00","1"
"Pokemon Black 2/Pokemon White 2","DS","2012","Role-Playing","2.79","1.72","3.14","0.41","8.07","1","1","1.00","1"
"Final Fantasy X","PS2","2001","Role-Playing","2.91","2.07","2.73","0.33","8.05","92","53","8.70","1056"
"The Sims 3","PC","2009","Simulation","0.99","6.42","0","0.6","8.01","86","75","7.60","886"
"Mario & Sonic at the Olympic Games","Wii","2007","Sports","2.57","3.86","0.66","0.91","7.99","1","1","1.00","1"
"Star Wars Battlefront (2015)","PS4","2015","Shooter","2.99","3.49","0.22","1.28","7.98","1","1","1.00","1"
"Final Fantasy VIII","PS","1999","Role-Playing","2.28","1.72","3.63","0.23","7.86","90","24","8.60","644"
"Pac-Man","PS","1982","Puzzle","7.28","0.45","0","0.08","7.81","1","1","1.00","1"
