"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales",""
"Policenauts","3DO","1995","Adventure","NA","NA","60","NA","60","NA","NA","NA","NA","NA","60.0",""
"Bust-A-Move","3DO","1994","Puzzle","NA","NA","20","NA","20","NA","NA","NA","NA","NA","20.0",""
"Sotsugyou II: Neo Generation Special","3DO","1995","Simulation","NA","NA","20","NA","20","NA","NA","NA","NA","NA","20.0",""
"Pokemon X/Pokemon Y","3DS","2013","Role-Playing","5280","4190","4350","780","14600","NA","NA","NA","NA","NA","6.2088028917712",""
"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS","2014","Role-Playing","4350","3490","3100","740","11680","NA","NA","NA","NA","NA","4.967042313417",""
"Super Smash Bros. for Wii U and 3DS","3DS","2014","Fighting","3270","1370","2430","480","7550","NA","NA","NA","NA","NA","3.2107165638954",""
"Pokemon Sun/Moon","3DS","2016","Role-Playing","2980","1450","2260","450","7140","NA","NA","NA","NA","NA","3.0363597703593",""
"Tomodachi Life","3DS","2013","Simulation","970","2110","1900","240","5230","NA","NA","NA","NA","NA","2.2241122687646",""
"The Legend of Zelda: Ocarina of Time","3DS","2011","Action","2090","1310","620","310","4330","NA","NA","NA","NA","NA","1.8413778439294",""
"Nintendogs + cats","3DS","2011","Simulation","1440","1410","730","270","3850","NA","NA","NA","NA","NA","1.6372528173506",""
"Monster Hunter 4","3DS","2013","Role-Playing","NA","NA","3440","NA","3440","NA","NA","NA","NA","NA","1.4628960238146",""
"Monster Hunter X","3DS","2015","Action","270","210","2790","50","3320","NA","NA","NA","NA","NA","1.4118647671699",""
"Yokai Watch 2 Ganso/Honke","3DS","2014","Role-Playing","90","NA","3180","10","3280","NA","NA","NA","NA","NA","1.3948543482883",""
"Monster Hunter Tri","3DS","2011","Role-Playing","460","290","1960","70","2790","NA","NA","NA","NA","NA","1.1864767169892",""
"Yokai Watch 2 Shinuchi","3DS","2014","Role-Playing","NA","NA","2680","NA","2680","NA","NA","NA","NA","NA","1.1396980650649",""
"Yokai Watch Busters","3DS","2015","Action","NA","NA","2290","NA","2290","NA","NA","NA","NA","NA","0.97384648096959",""
"Yokai Watch","3DS","2013","Role-Playing","250","450","1330","50","2090","NA","NA","NA","NA","NA","0.88879438656177",""
"Mario & Luigi: Dream Team","3DS","2013","Role-Playing","890","580","460","140","2080","NA","NA","NA","NA","NA","0.88454178184138",""
"Donkey Kong Country Returns","3DS","2013","Platform","740","620","410","130","1890","NA","NA","NA","NA","NA","0.80374229215394",""
"Professor Layton and the Mask of Miracle","3DS","2011","Puzzle","320","970","360","130","1790","NA","NA","NA","NA","NA","0.76121624495003",""
" Fire Emblem Fates","3DS","2015","Role-Playing","810","230","520","110","1680","NA","NA","NA","NA","NA","0.71443759302573",""
"Puzzle & Dragons","3DS","2013","Role-Playing","NA","NA","1510","NA","1510","NA","NA","NA","NA","NA","0.64214331277908",""
"LEGO City Undercover","3DS","2013","Platform","520","770","70","110","1470","NA","NA","NA","NA","NA","0.62513289389751",""
"Dragon Quest VII: Warriors of Eden","3DS","2013","Role-Playing","60","90","1300","10","1460","NA","NA","NA","NA","NA","0.62088028917712",""
"Bravely Default: Flying Fairy","3DS","2012","Role-Playing","500","320","490","80","1380","NA","NA","NA","NA","NA","0.58685945141399",""
"Yokai Watch 3","3DS","2016","Action","NA","NA","1330","NA","1330","NA","NA","NA","NA","NA","0.56559642781203",""
"Mario & Sonic at the London 2012 Olympic Games","3DS","2012","Sports","180","640","270","90","1180","NA","NA","NA","NA","NA","0.50180735700617",""
"Dragon Quest Monsters: Terry's Wonderland 3D","3DS","2012","Role-Playing","NA","NA","960","NA","960","NA","NA","NA","NA","NA","0.40825005315756",""
"Monster Strike 3DS","3DS","2015","Action","NA","NA","870","NA","870","NA","NA","NA","NA","NA","0.36997661067404",""
"Dragon Quest VIII: Journey of the Cursed King","3DS","2015","Role-Playing","NA","NA","860","NA","860","NA","NA","NA","NA","NA","0.36572400595365",""
"Dragon Quest Monsters 2","3DS","2014","Role-Playing","NA","NA","790","NA","790","NA","NA","NA","NA","NA","0.33595577291091",""
"Mario & Luigi: Paper Jam","3DS","2015","Role-Playing","160","290","260","40","760","NA","NA","NA","NA","NA","0.32319795874973",""
"Nintendo Presents: New Style Boutique 2 - Fashion Forward","3DS","2015","Misc","30","660","20","40","750","NA","NA","NA","NA","NA","0.31894535402934",""
"Rhythm Heaven: The Best+","3DS","2015","Misc","NA","30","720","NA","740","NA","NA","NA","NA","NA","0.31469274930895",""
"The LEGO Movie Videogame","3DS","2014","Action","280","310","50","50","690","NA","NA","54","3","NA","0.293429725707",""
"Dragon Quest Monsters Joker 3","3DS","2016","Role-Playing","NA","NA","630","NA","630","NA","NA","NA","NA","NA","0.26791409738465",""
"Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb","3DS","2012","Misc","NA","NA","630","NA","630","NA","NA","NA","NA","NA","0.26791409738465",""
"LEGO Jurassic World","3DS","2015","Action","310","230","30","50","620","NA","NA","72","NA","NA","0.26366149266426",""
"Toshochu: Run for Money","3DS","2012","Adventure","NA","NA","620","NA","620","NA","NA","NA","NA","NA","0.26366149266426",""
" Frozen: Olaf's Quest","3DS","2013","Platform","270","270","NA","50","600","NA","NA","NA","NA","NA","0.25515628322347",""
"Xenoblade Chronicles","3DS","2015","Role-Playing","270","140","120","40","560","NA","NA","NA","NA","NA","0.23814586434191",""
"Yokai Sangokushi","3DS","2016","Action","NA","NA","560","NA","560","NA","NA","NA","NA","NA","0.23814586434191",""
"Inazuma Eleven GO","3DS","2011","Role-Playing","NA","50","480","NA","530","NA","NA","NA","NA","NA","0.22538805018074",""
"Mario & Sonic at the Rio 2016 Olympic Games","3DS","2016","Action","50","210","250","20","530","NA","NA","NA","NA","NA","0.22538805018074",""
"Epic Mickey: Power of Illusion","3DS","2012","Action","360","40","40","40","490","NA","NA","NA","NA","NA","0.20837763129917",""
"Puzzle & Dragons Z + Super Mario Bros. Edition","3DS","2015","Puzzle","60","70","340","10","480","NA","NA","NA","NA","NA","0.20412502657878",""
"Inazuma Eleven Go 2: Chrono Stone","3DS","2012","Role-Playing","NA","10","460","NA","470","NA","NA","NA","NA","NA","0.19987242185839",""
"FIFA 15","3DS","2014","Sports","90","340","NA","30","450","NA","NA","24","35","NA","0.19136721241761",""
"Lego Batman 3: Beyond Gotham","3DS","2014","Action","210","200","NA","40","450","NA","NA","64","7","NA","0.19136721241761",""
"Hyrule Warriors","3DS","2016","Action","170","130","110","30","430","NA","NA","NA","NA","NA","0.18286200297682",""
"FIFA 12","3DS","2011","Sports","80","260","NA","50","390","NA","NA","NA","NA","NA","0.16585158409526",""
"Phoenix Wright: Ace Attorney - Dual Destinies","3DS","2013","Adventure","NA","NA","380","NA","380","NA","NA","NA","NA","NA","0.16159897937487",""
"Raving Rabbids: Travel in Time 3D","3DS","2011","Platform","110","230","NA","40","380","NA","NA","NA","NA","NA","0.16159897937487",""
"Etrian Odyssey IV: Legends of the Titans","3DS","2012","Role-Playing","120","50","200","10","380","NA","NA","NA","NA","NA","0.16159897937487",""
"Sentouchu: Densetsu no Shinobi to Survival Battle!","3DS","2013","Action","NA","NA","350","NA","350","NA","NA","NA","NA","NA","0.14884116521369",""
