"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales","Client"
"The Orange Box","PC","2007","Shooter","NA","110","NA","30","140","96","34","93","495","94.5","0.0094456101526815","802"
"Metal Gear Solid 3: Subsistence","PS2","2005","Action","340","10","150","60","550","94","53","93","439","93.5","0.037107754171249","615"
"Half-Life 2","PC","2004","Shooter","2280","20","80","NA","2370","96","80","90","8665","93","0.15990068615611","418"
"The Witcher 3: Wild Hunt","PC","2015","Role-Playing","210","460","NA","50","720","93","32","93","665","93","0.048577423642362","286"
"Okami","PS2","2006","Action","110","30","150","340","630","93","69","93","327","93","0.042505245687067","360"
"Star Wars: Knights of the Old Republic","XB","2003","Role-Playing","1680","440","NA","80","2190","94","72","92","307","93","0.14775633024552","462"
"Grand Theft Auto: San Andreas","PS2","2004","Action","9430","400","410","10570","20810","95","80","90","588","92.5","1.4040224805522","977"
"Resident Evil 4","PS2","2005","Action","2080","830","460","250","3620","96","38","89","3","92.5","0.24423649109077","294"
"The Last of Us","PS3","2013","Action","2410","2180","280","990","5870","95","98","90","8003","92.5","0.39604093997315","261"
"Red Dead Redemption","X360","2010","Action","3700","1950","90","580","6320","95","96","90","2306","92.5","0.42640182974962","986"
"Mass Effect 2","X360","2010","Role-Playing","1990","810","30","270","3100","96","98","89","3043","92.5","0.20915279623795","518"
"BioShock","X360","2007","Shooter","1650","850","50","280","2830","96","88","89","2249","92.5","0.19093626237206","72"
"The Orange Box","X360","2007","Shooter","1090","530","20","170","1820","96","54","89","797","92.5","0.12279293198486","187"
"Uncharted 2: Among Thieves","PS3","2009","Action","3270","2200","210","980","6660","96","5","88","5087","92","0.44934116869185","819"
"The Witcher 3: Wild Hunt","PS4","2015","Role-Playing","1020","2130","230","590","3970","92","79","92","79","92","0.26785051647247","543"
"Tom Clancy's Splinter Cell: Chaos Theory","XB","2005","Action","680","380","NA","50","1110","94","70","90","60","92","0.074890194781975","327"
"Portal 2","PC","2011","Shooter","330","320","NA","100","760","95","52","88","5999","91.5","0.051276169400271","645"
"Star Wars: Knights of the Old Republic","PC","2003","Role-Playing","10","100","NA","20","140","93","33","90","497","91.5","0.0094456101526815","115"
"Deus Ex","PC","2000","Role-Playing","NA","10","NA","NA","10","90","28","93","69","91.5","0.00067468643947725","703"
"Metal Gear Solid 2: Sons of Liberty","PS2","2001","Action","2450","2010","870","720","6050","96","42","87","26","91.5","0.40818529588374","827"
"God of War","PS2","2005","Action","2710","1290","20","430","4450","94","75","89","997","91.5","0.30023546556738","353"
"Metal Gear Solid 3: Snake Eater","PS2","2004","Action","1460","NA","830","1930","4230","90","68","93","955","91.5","0.28539236389888","249"
"World Soccer Winning Eleven 6 International","PS2","2002","Sports","120","1260","1160","450","2990","93","24","90","65","91.5","0.2017312454037","999"
"World Soccer Winning Eleven 7 International","PS2","2003","Sports","80","1240","1130","450","2900","93","28","90","45","91.5","0.1956590674484","742"
"Burnout 3: Takedown","PS2","2004","Racing","1230","1110","NA","340","2680","93","52","90","270","91.5","0.1808159657799","897"
"SSX 3","PS2","2003","Sports","930","520","NA","220","1670","93","40","90","25","91.5","0.1126726353927","274"
"Virtua Fighter 4: Evolution","PS2","2003","Fighting","350","270","NA","90","710","93","30","90","48","91.5","0.047902737202885","248"
"Red Dead Redemption","PS3","2010","Action","2790","2530","170","990","6490","95","73","88","2456","91.5","0.43787149922074","243"
"Metal Gear Solid: The Legacy Collection","PS3","2013","Adventure","310","10","30","60","400","93","4","90","255","91.5","0.02698745757909","896"
"Halo: Combat Evolved","XB","2001","Shooter","4980","1300","80","70","6430","97","68","86","283","91.5","0.43382338058387","953"
"Grand Theft Auto: San Andreas","PC","2005","Action","NA","930","NA","40","970","93","47","89","840","91","0.065444584629294","443"
"Mass Effect 2","PC","2010","Role-Playing","10","320","NA","60","390","94","55","88","3559","91","0.026312771139613","669"
"Warcraft III: Reign of Chaos","PC","2002","Strategy","30","90","NA","20","130","92","40","90","23","91","0.0087709237132043","21"
"Rome: Total War","PC","2004","Strategy","NA","90","NA","20","100","92","58","90","50","91","0.0067468643947725","396"
"Grand Theft Auto: Vice City","PC","2003","Action","NA","30","NA","10","40","94","30","88","520","91","0.002698745757909","320"
"Unreal Tournament 2004","PC","2004","Shooter","NA","10","NA","NA","20","93","48","89","537","91","0.0013493728789545","190"
"Grand Theft Auto: Vice City","PS2","2002","Action","8410","5490","470","1780","16150","95","62","87","730","91","1.0896185997558","433"
"Grand Theft Auto III","PS2","2001","Action","6990","4510","300","1300","13100","97","56","85","664","91","0.8838392357152","535"
"God of War II","PS2","2007","Action","2320","40","40","1670","4070","93","70","89","709","91","0.27459738086724","718"
"NCAA Football 2004","PS2","2003","Sports","1350","90","NA","230","1670","94","5","88","80","91","0.1126726353927","446"
"Batman: Arkham City","PS3","2011","Action","2710","1850","110","810","5480","96","42","86","2062","91","0.36972816883353","592"
"ESPN NFL 2K5","XB","2004","Sports","1540","20","NA","70","1630","92","42","90","93","91","0.10997388963479","79"
"The Witcher 3: Wild Hunt","XOne","2015","Role-Playing","690","500","NA","110","1310","90","3","92","3963","91","0.08838392357152","475"
"BioShock","PC","2007","Shooter","10","390","NA","20","410","96","44","85","3606","90.5","0.027662144018567","547"
"Company of Heroes","PC","2006","Strategy","NA","40","NA","10","50","93","55","88","28","90.5","0.0033734321973863","291"
